Key,Source,Context,Example,en
DLG.ABU.COLE.02,"El autobús para aquí. Cuando llegue, sube y busca asiento.","1.4 Tercer cumpleaños, colegio, paga y sueño · Abu",,
DLG.ABU.COLE.03,Pásalo muy bien. A la salida te espera tu paga.,"1.4 Tercer cumpleaños, colegio, paga y sueño · Abu",,
DLG.ABU.PAGA.01,Por haber sido tan valiente en tu primer día: ¡tu primera paga!,"1.4 Tercer cumpleaños, colegio, paga y sueño · {familiar}",,
DLG.ABU.PAGA.02,"Diez dólares de Valmar. Úsalos bien… o, por lo menos, disfrútalos.","1.4 Tercer cumpleaños, colegio, paga y sueño · Abu",,
DLG.ABU.MOVIL.01,Toma: tu primer teléfono. Para que me llames cuando quieras.,"1.4 Tercer cumpleaños, colegio, paga y sueño · Abu",,
DLG.ABU.MOVIL.02,"Aquí tienes el mapa, tus fotos y tus tareas. ¡Nada de perderse!","1.4 Tercer cumpleaños, colegio, paga y sueño · Abu",,
DLG.ABU.SUENO.01,"Oye, {nombre}… ¿y tú qué quieres ser de mayor?","1.4 Tercer cumpleaños, colegio, paga y sueño · Abu",{nombre}=Lucía,
DLG.ABU.SUENO.R1_M,¡Bombero! ¡Apagar fuegos!,"1.4 Tercer cumpleaños, colegio, paga y sueño · Respuesta del jugador (forma masculina)",,
DLG.ABU.SUENO.R1_F,¡Bombera! ¡Apagar fuegos!,"1.4 Tercer cumpleaños, colegio, paga y sueño · Respuesta del jugador (forma femenina)",,
DLG.ABU.SUENO.R2_M,¡Médico! ¡Curar a la gente!,"1.4 Tercer cumpleaños, colegio, paga y sueño · Respuesta del jugador (forma masculina)",,
DLG.ABU.SUENO.R2_F,¡Médica! ¡Curar a la gente!,"1.4 Tercer cumpleaños, colegio, paga y sueño · Respuesta del jugador (forma femenina)",,
DLG.ABU.SUENO.R3_M,¡Cocinero! ¡Hacer comida rica!,"1.4 Tercer cumpleaños, colegio, paga y sueño · Respuesta del jugador (forma masculina)",,
DLG.ABU.SUENO.R3_F,¡Cocinera! ¡Hacer comida rica!,"1.4 Tercer cumpleaños, colegio, paga y sueño · Respuesta del jugador (forma femenina)",,
DLG.ABU.SUENO.R4,¡Futbolista! ¡Marcar en el estadio!,"1.4 Tercer cumpleaños, colegio, paga y sueño · Respuesta del jugador",,
DLG.ABU.SUENO.R5_M,¡Inventor! ¡Hacer robots!,"1.4 Tercer cumpleaños, colegio, paga y sueño · Respuesta del jugador (forma masculina)",,
DLG.ABU.SUENO.R5_F,¡Inventora! ¡Hacer robots!,"1.4 Tercer cumpleaños, colegio, paga y sueño · Respuesta del jugador (forma femenina)",,
DLG.ABU.SUENO.R6,¡Aún no lo sé!,"1.4 Tercer cumpleaños, colegio, paga y sueño · Respuesta del jugador",,
DLG.ABU.SUENO.02,{sueno}… Me parece un sueño precioso. Y los sueños se construyen poco a poco.,"1.4 Tercer cumpleaños, colegio, paga y sueño · Abu",{sueno}=bombero,
DLG.ABU.SUENO.03,¿No lo sabes todavía? ¡Mejor! Así puedes probarlo todo.,"1.4 Tercer cumpleaños, colegio, paga y sueño · Abu",,
DLG.ABU.FIN.01_M,"Mañana hay carrera de bicis con Nico. ¡Descansa, campeón del día!","1.4 Tercer cumpleaños, colegio, paga y sueño · Abu (forma masculina)",,
DLG.ABU.FIN.01_F,"Mañana hay carrera de bicis con Nico. ¡Descansa, campeona del día!","1.4 Tercer cumpleaños, colegio, paga y sueño · Abu (forma femenina)",,
DLG.ABU.MEM.SUENO,¿Sigues queriendo ser {sueno}? ¡Yo ya te veo!,"1.5 Abu durante el resto de la vida (saludos según la memoria) · Niño, visita",{sueno}=bombero,
DLG.ABU.MEM.PRIMER_TRABAJO,¡Tu primer sueldo! ¿Me invitas a un café en la Cafetería Central?,1.5 Abu durante el resto de la vida (saludos según la memoria) · Primer sueldo,,
DLG.ABU.MEM.INDEPENDIENTE,"Esta casa está muy silenciosa sin ti. Ven a comer el domingo, ¿vale?",1.5 Abu durante el resto de la vida (saludos según la memoria) · Tras mudarse,,
DLG.ABU.MEM.SUENO_CUMPLIDO,{profesion}. Lo sabía desde que tenías tres años.,1.5 Abu durante el resto de la vida (saludos según la memoria) · Sueño cumplido,{profesion}=médica,
DLG.ERNESTO.TURNO1.01,¿Tú eres la criatura nueva? Llegas justo. La hora punta no espera.,2.1 Primer turno de barista · Don Ernesto,,
DLG.ERNESTO.TURNO1.02,Regla número uno: la leche no se quema. Nunca.,2.1 Primer turno de barista · Don Ernesto,,
DLG.ERNESTO.TURNO1.03,Para la aguja en la zona verde. Ni antes ni después.,2.1 Primer turno de barista · Don Ernesto,,
DLG.ERNESTO.TURNO1.04,"¿Ves el color del ticket? Cada café, a su dueño.",2.1 Primer turno de barista · Don Ernesto,,
DLG.ERNESTO.TURNO1.05,Hmm. No está mal. No está bien. Pero no está mal.,2.1 Primer turno de barista · Don Ernesto,,
DLG.ERNESTO.TURNO1.06,"¡Ese café tiene alma! Así se hace, criatura.",2.1 Primer turno de barista · Don Ernesto,,
DLG.ERNESTO.TURNO1.07,"Mañana vuelves. Y trae ganas, que café ya tengo yo.",2.1 Primer turno de barista · Don Ernesto,,
DLG.ERNESTO.CANELA.01,"¡Canela! ¡Fuera de la barra, que ahí no se duerme!",2.1 Primer turno de barista · Don Ernesto,,
DLG.ERNESTO.FALLO.01,Tranquilidad. Un café mal hecho se tira y se hace otro. Un cliente enfadado cuesta más.,2.1 Primer turno de barista · Don Ernesto,,
DLG.ERNESTO.HIST.01,Esta cafetería la abrió mi abuelo cuando la plaza era de tierra. Aquí se firmaban tratos con un apretón de manos.,2.2 Afinidad: historias de la ciudad · 1,,
DLG.ERNESTO.HIST.02,Por esa ventana vi pasar el último tren de la conservera. Iba lleno de gente diciendo adiós.,2.2 Afinidad: historias de la ciudad · 2,,
DLG.ERNESTO.HIST.03,La alcaldesa venía aquí a estudiar cuando era estudiante. Siempre pedía chocolate. Que no se entere nadie.,2.2 Afinidad: historias de la ciudad · 3,,
DLG.ERNESTO.HIST.04,"¿Sabes qué me preocupa? Que cuando yo me retire, esto se convierta en otra tienda de móviles.",2.2 Afinidad: historias de la ciudad · 4,,
DLG.ERNESTO.HIST.05,Llevo tiempo mirándote. Tienes buena mano y mejor corazón. ¿Te atreverías a llevar esto tú?,2.2 Afinidad: historias de la ciudad · 5,,
DLG.PACO.PREGON.01,"¡Mira qué tomates, mira qué tomates! ¡Rojos como el atardecer de Playa Dorada!",3. Paco Almansa — Mercado de San Roque · Paco,,
DLG.PACO.PREGON.02,"¡Naranjas de Villaverde, dulces como la abuela!",3. Paco Almansa — Mercado de San Roque · Paco,,
DLG.PACO.SALUDO.01,"¡Anda, mira quién está aquí! ¿Qué se cuenta el barrio?",3. Paco Almansa — Mercado de San Roque · Paco,,
DLG.PACO.PISO.01,"¿Buscas piso? Aquí en San Roque son pequeños, pero con alma. Y baratos, que es lo importante.",3. Paco Almansa — Mercado de San Roque · Paco,,
DLG.PACO.PISO.02,"Te enseño tres. Uno aquí, uno en el Campus y uno en el Centro. Tú decides.",3. Paco Almansa — Mercado de San Roque · Paco,,
DLG.PACO.PISO.R1,Quiero lo más barato posible.,3. Paco Almansa — Mercado de San Roque · Respuesta del jugador,,
DLG.PACO.PISO.R2,Prefiero estar cerca del trabajo.,3. Paco Almansa — Mercado de San Roque · Respuesta del jugador,,
DLG.PACO.PISO.R3,"Quiero algo bonito, aunque cueste más.",3. Paco Almansa — Mercado de San Roque · Respuesta del jugador,,
DLG.PACO.PISO.03,"Barato, ¿eh? Entonces la habitación de la calle Conservera. Tiene vistas… al mural.",3. Paco Almansa — Mercado de San Roque · Paco,,
DLG.PACO.PISO.04,"Cerca del curro, bien pensado. Lo que ahorras en autobús lo gastas en churros.",3. Paco Almansa — Mercado de San Roque · Paco,,
DLG.PACO.PISO.05,"¿Bonito? El estudio del Centro tiene un balcón que parece de película. Pero vas a tener que trabajar, ¿eh?",3. Paco Almansa — Mercado de San Roque · Paco,,
DLG.PACO.CHISME.01,Dicen que el viejo Bernardo vuelve a mirar el faro cada noche. Algo trama ese hombre…,3. Paco Almansa — Mercado de San Roque · Paco,,
DLG.PACO.CHISME.02,"Me han contado que en el túnel viejo, junto a las vías, hay algo escondido. Yo no he dicho nada.",3. Paco Almansa — Mercado de San Roque · Paco,,
DLG.PACO.CONSEJO.01,"Consejo de Paco: la fruta del domingo, a última hora, está a mitad de precio.",3. Paco Almansa — Mercado de San Roque · Paco,,
DLG.LUCIA.COLE1.01,"¡Hola, {nombre}! Soy Lucía, tu maestra. Hoy vamos a aprender jugando.",4. Lucía Ortega — Colegio de Los Pinos · Lucía,{nombre}=Lucía,
DLG.LUCIA.COLE1.02,Tenemos manzanas y tenemos cestas. ¿Cuántas manzanas hay en total?,4. Lucía Ortega — Colegio de Los Pinos · Lucía,,
DLG.LUCIA.COLE1.03,¡Muy bien! ¿Ves? Las matemáticas también se pueden comer.,4. Lucía Ortega — Colegio de Los Pinos · Lucía,,
DLG.LUCIA.COLE1.04,¿Te has equivocado? ¡Genial! Así se aprende. Prueba otra vez.,4. Lucía Ortega — Colegio de Los Pinos · Lucía,,
DLG.LUCIA.COLE1.05,"¡Al recreo! Y nada de empujones, que nos conocemos.",4. Lucía Ortega — Colegio de Los Pinos · Lucía,,
DLG.LUCIA.EXCURSION.01,"Mañana vamos de excursión. Como alguien quiere ser {sueno}, ¡iremos a verlo de cerca!",4. Lucía Ortega — Colegio de Los Pinos · Lucía,{sueno}=bombero,
DLG.LUCIA.GRADUA.01,Habéis crecido tanto… Prometedme una cosa: no dejéis nunca de hacer preguntas.,4. Lucía Ortega — Colegio de Los Pinos · Lucía,,
DLG.LUCIA.REENCUENTRO.01,¿{nombre}? ¡No me lo puedo creer! ¿Cumpliste tu sueño?,4. Lucía Ortega — Colegio de Los Pinos · Lucía,{nombre}=Lucía,
DLG.LUCIA.REENCUENTRO.R1,Sí. Ahora soy {profesion}.,4. Lucía Ortega — Colegio de Los Pinos · Respuesta del jugador,{profesion}=médica,
DLG.LUCIA.REENCUENTRO.R2,"Todavía no, pero estoy en ello.",4. Lucía Ortega — Colegio de Los Pinos · Respuesta del jugador,,
DLG.LUCIA.REENCUENTRO.R3,Encontré otro sueño por el camino.,4. Lucía Ortega — Colegio de Los Pinos · Respuesta del jugador,,
DLG.LUCIA.REENCUENTRO.02,"Lo sabía. Desde el primer día con las manzanas, lo sabía. Gracias por venir a contármelo.",4. Lucía Ortega — Colegio de Los Pinos · Lucía,,
DLG.LUCIA.REENCUENTRO.03,"Los sueños grandes tardan. Sigue, que lo tienes cerca.",4. Lucía Ortega — Colegio de Los Pinos · Lucía,,
DLG.LUCIA.REENCUENTRO.04,¡Eso es lo mejor que me podías decir! Crecer es también cambiar de sueño.,4. Lucía Ortega — Colegio de Los Pinos · Lucía,,
DLG.IGNACIO.CUENTA.01,Te doy la bienvenida al Banco Valmar. Vamos a abrir tu primera cuenta. ¡Qué emoción!,5. Ignacio Prieto — Banco Valmar · Ignacio,,
DLG.IGNACIO.CUENTA.02,"Esta es tu tarjeta. Con ella pagas en las tiendas, y el dinero sale de tu cuenta.",5. Ignacio Prieto — Banco Valmar · Ignacio,,
DLG.IGNACIO.CUENTA.03,¿Para qué quieres ahorrar? Ponle nombre a tu meta y te enseño cuánto te falta.,5. Ignacio Prieto — Banco Valmar · Ignacio,,
DLG.IGNACIO.CUENTA.04,Ahorrar no es guardar dinero: es comprarle tiempo a tu yo del futuro.,5. Ignacio Prieto — Banco Valmar · Ignacio,,
DLG.IGNACIO.HIPOTECA.01,"Una hipoteca: pones una parte ahora y el resto cada semana. Si pagas a tiempo, tu historial mejora.",5. Ignacio Prieto — Banco Valmar · Ignacio,,
DLG.IGNACIO.HIPOTECA.02,Mi consejo: que la cuota no pase de un tercio de lo que ganas. Así duermes sin preocupaciones.,5. Ignacio Prieto — Banco Valmar · Ignacio,,
DLG.IGNACIO.ALERTA.01,Te escribo porque tu cuenta está un poco baja. ¿Revisamos juntos tus gastos?,5. Ignacio Prieto — Banco Valmar · Ignacio,,
DLG.PILAR.CLASE1.01,Buenas. Soy Pilar. Primera regla: yo también tengo freno. Segunda: no me obligues a usarlo.,6. Pilar Gómez — Autoescuela · Pilar,,
DLG.PILAR.CLASE1.02,"Intermitente, espejo, y luego ya si quieres rezas.",6. Pilar Gómez — Autoescuela · Pilar,,
DLG.PILAR.CLASE1.03,Ese stop no era una sugerencia.,6. Pilar Gómez — Autoescuela · Pilar,,
DLG.PILAR.CLASE1.04,"Mira, eso ha estado bien. No lo repitas mucho que me acostumbro.",6. Pilar Gómez — Autoescuela · Pilar,,
DLG.PILAR.EXAMEN.01,¡Aprobado! Te lo digo en serio: conduce como si todos los demás estuvieran despistados.,6. Pilar Gómez — Autoescuela · Pilar,,
DLG.BRAVO.MIR.01,Respira. El paciente necesita que tú mantengas la calma antes que él.,7. Dr. Samuel Bravo — Hospital General · Dr. Bravo,,
DLG.BRAVO.MIR.02,Primero escucha. La mitad del diagnóstico te lo cuenta el propio paciente.,7. Dr. Samuel Bravo — Hospital General · Dr. Bravo,,
DLG.BRAVO.MIR.03,¿Tres pruebas para un catarro? El tiempo de urgencias también es un paciente.,7. Dr. Samuel Bravo — Hospital General · Dr. Bravo,,
DLG.BRAVO.MIR.04,Buen diagnóstico. Ahora explícaselo sin palabras raras.,7. Dr. Samuel Bravo — Hospital General · Dr. Bravo,,
DLG.BRAVO.MIR.05,¿Y qué harías tú? No me mires a mí. Decide.,7. Dr. Samuel Bravo — Hospital General · Dr. Bravo,,
DLG.BRAVO.AUXILIOS.01,"Si ves a alguien mareado: lo tumbas de lado, llamas al 112 y te quedas a su lado. Con eso ya ayudas muchísimo.",7. Dr. Samuel Bravo — Hospital General · Dr. Bravo,,
DLG.BRAVO.FIN.01,"Buen turno. Vete a casa, duerme y come algo que no sea de la máquina.",7. Dr. Samuel Bravo — Hospital General · Dr. Bravo,,
DLG.NURIA.SIMULACRO.01,"¡Atención, peques! Si suena la alarma: en fila, sin correr y sin volver a por la mochila.",8. Nuria Castro — Bomberos · Nuria,,
DLG.NURIA.SIMULACRO.02,¡Perfecto! Habéis salido en un minuto y medio. ¡Récord del colegio!,8. Nuria Castro — Bomberos · Nuria,,
DLG.NURIA.AVISO.01,¡Aviso! Humo en un edificio de {zona}. ¡Todos al camión!,8. Nuria Castro — Bomberos · Nuria,{zona}=San Roque,
DLG.NURIA.FUEGO.01,"Apunta a la base de las llamas, no al humo.",8. Nuria Castro — Bomberos · Nuria,,
DLG.NURIA.FUEGO.02,"Cámara térmica: busca manchas naranjas. Primero las personas, luego las cosas.",8. Nuria Castro — Bomberos · Nuria,,
DLG.NURIA.FIN.01,"Buen trabajo, equipo. Nadie herido, todo apagado. Así me gusta.",8. Nuria Castro — Bomberos · Nuria,,
DLG.NURIA.GATO.01,Otra vez el gato de la señora Pilar. Ese gato tiene más rescates que yo.,8. Nuria Castro — Bomberos · Nuria,,
DLG.JULIAN.BRIEF.01,Buenos días. Hoy patrulla por {zona}. Recordad: a quien madruga… le entra sueño.,9. Julián Ríos — Policía · Julián,{zona}=San Roque,
DLG.JULIAN.BRIEF.02,En Valmar la mejor detención es la que no hace falta. Ayudad primero.,9. Julián Ríos — Policía · Julián,,
DLG.JULIAN.VIAL.01,"Semáforo rojo: paramos. Verde: miramos a los dos lados, y entonces cruzamos.",9. Julián Ríos — Policía · Julián,,
DLG.JULIAN.PERDIDO.01,"Una señora ha perdido su perro, Tofu. Pequeño, blanco y con un pañuelo azul.",9. Julián Ríos — Policía · Julián,,
DLG.JULIAN.FIN.01,Turno tranquilo. Como decía mi abuelo: más vale pájaro en mano… que un turno movido.,9. Julián Ríos — Policía · Julián,,
DLG.AMAIA.DECISION.01,"Siéntate, {nombre}. Tienes dieciocho años y un mundo delante. Hablemos.",10. Amaia Soler — Rectora (la decisión de los 18) · Amaia,{nombre}=Lucía,
DLG.AMAIA.DECISION.02,No hay un camino correcto. Hay el tuyo.,10. Amaia Soler — Rectora (la decisión de los 18) · Amaia,,
DLG.AMAIA.DECISION.R1,Quiero ir a la universidad.,10. Amaia Soler — Rectora (la decisión de los 18) · Respuesta del jugador,,
DLG.AMAIA.DECISION.R2,Prefiero aprender un oficio en la FP.,10. Amaia Soler — Rectora (la decisión de los 18) · Respuesta del jugador,,
DLG.AMAIA.DECISION.R3,Quiero empezar a trabajar ya.,10. Amaia Soler — Rectora (la decisión de los 18) · Respuesta del jugador,,
DLG.AMAIA.DECISION.R4,Tengo una idea de negocio.,10. Amaia Soler — Rectora (la decisión de los 18) · Respuesta del jugador,,
DLG.AMAIA.DECISION.R5,Necesito tiempo para pensarlo.,10. Amaia Soler — Rectora (la decisión de los 18) · Respuesta del jugador,,
DLG.AMAIA.DECISION.03,Con tu nota puedes pedir una beca. Mi abuela fundó esta casa para que nadie se quedara fuera por dinero.,10. Amaia Soler — Rectora (la decisión de los 18) · Amaia,,
DLG.AMAIA.DECISION.04,"Los oficios sostienen la ciudad. Sin mecánicos, sin cocineros y sin electricistas, Valmar no se enciende por la mañana.",10. Amaia Soler — Rectora (la decisión de los 18) · Amaia,,
DLG.AMAIA.DECISION.05,Trabajar también enseña. Y recuerda: esta puerta estará abierta si algún día quieres volver.,10. Amaia Soler — Rectora (la decisión de los 18) · Amaia,,
DLG.AMAIA.DECISION.06,"¿Una empresa? Ve a ver a Victoria Altamar. Es dura, pero sabe reconocer el talento.",10. Amaia Soler — Rectora (la decisión de los 18) · Amaia,,
DLG.AMAIA.DECISION.07,"Pensar no es perder el tiempo. Viaja, prueba trabajos, descubre qué te hace feliz.",10. Amaia Soler — Rectora (la decisión de los 18) · Amaia,,
DLG.AMAIA.CITA.01,"Mi abuela decía: ""Nadie llega tarde a aprender, solo a rendirse"".",10. Amaia Soler — Rectora (la decisión de los 18) · Amaia,,
DLG.AMAIA.GRADUA.01,Hoy salís de aquí con un título. Pero lo que de verdad os lleváis es lo que habéis aprendido a hacer juntos.,10. Amaia Soler — Rectora (la decisión de los 18) · Amaia,,
DLG.ELVIRA.LIBRO.01,"Déjame que te cuente… Este libro tiene todas las vidas de Valmar. Todas caben, y ninguna se parece a otra.",11. Elvira Castell — El Libro de Valmar · Elvira,,
DLG.ELVIRA.CAPITULO.01,Así que ha llegado el momento de escribir tu capítulo. Tómate tu tiempo.,11. Elvira Castell — El Libro de Valmar · Elvira,,
DLG.ELVIRA.CAPITULO.02,Elige cinco recuerdos. No los más grandes: los que más te importen.,11. Elvira Castell — El Libro de Valmar · Elvira,,
DLG.ELVIRA.CAPITULO.03,"Y ahora, un nombre para tu historia. ¿Cómo te recordará Valmar?",11. Elvira Castell — El Libro de Valmar · Elvira,,
DLG.ELVIRA.CAPITULO.04,Qué vida tan bonita. Gracias por dejarme escribirla.,11. Elvira Castell — El Libro de Valmar · Elvira,,
DLG.ELVIRA.LEYENDA.01,¿Sabías que a la carta de fundación le falta una página? Alguien la usó para algo… muy poco importante.,11. Elvira Castell — El Libro de Valmar · Elvira,,
DLG.ELVIRA.HEREDERO.01,Tú debes de ser de la familia {apellido}. Tu antepasado tiene aquí un capítulo precioso. ¿Quieres leerlo?,11. Elvira Castell — El Libro de Valmar · Elvira,{apellido}=García,
DLG.KAI.SALUDO.01,"¡Eh, qué pasa! ¿Vienes a por olas o a por helado?",12. Kai Moreno — Playa Dorada · Kai,,
DLG.KAI.NADAR.01,"Tranqui. Primero flotar, luego nadar, luego surf. El mar no tiene prisa.",12. Kai Moreno — Playa Dorada · Kai,,
DLG.KAI.BANDERA.01,"Bandera amarilla: al agua, pero cerquita. Bandera roja: hoy el mar manda.",12. Kai Moreno — Playa Dorada · Kai,,
DLG.KAI.LIMPIEZA.01,¿Me ayudas a limpiar la playa? Cada botella que recogemos es una tortuga más feliz.,12. Kai Moreno — Playa Dorada · Kai,,
DLG.KAI.RESCATE.01,"¡Alguien pide ayuda en la boya! ¡Coge el flotador, rápido!",12. Kai Moreno — Playa Dorada · Kai,,
DLG.BERNARDO.SALUDO.01,"¡Por todos los percebes! Un visitante. Siéntate, que el banco es grande.",13. Bernardo — El faro · Bernardo,,
DLG.BERNARDO.FARO.01,Cuarenta años encendí esa luz. Cada noche. Y una noche me dijeron que ya no hacía falta.,13. Bernardo — El faro · Bernardo,,
DLG.BERNARDO.FARO.02,"Un faro no mueve los barcos, criatura. Solo les dice dónde está la casa.",13. Bernardo — El faro · Bernardo,,
DLG.BERNARDO.FARO.03,Si toda la ciudad arrimara el hombro… yo creo que volvería a brillar.,13. Bernardo — El faro · Bernardo,,
DLG.BERNARDO.FARO.04,Dicen que cuando el faro se encienda volverán las ballenas. Yo no lo digo. Pero lo pienso.,13. Bernardo — El faro · Bernardo,,
DLG.BERNARDO.ENCENDIDO.01,Mira… ¡Mira! Está encendido. Gracias. A ti y a todos.,13. Bernardo — El faro · Bernardo,,
DLG.BERNARDO.RELIQUIA.01,Toma mi silbato. Me acompañó cuarenta años. Ahora te toca a ti cuidar de alguien.,13. Bernardo — El faro · Bernardo,,
DLG.MARIBEL.SALUDO.01,"Qué alegría verte por el valle. Aquí se madruga, pero se vive a gusto.",14. Maribel Ruiz — Cooperativa de Villaverde · Maribel,,
DLG.MARIBEL.SIEMBRA.01,"Cada cosa a su tiempo: tomates en verano, calabazas en otoño. La tierra no tiene prisa.",14. Maribel Ruiz — Cooperativa de Villaverde · Maribel,,
DLG.MARIBEL.RIEGO.01,"Riega, pero no ahogues. A las plantas les pasa como a las personas.",14. Maribel Ruiz — Cooperativa de Villaverde · Maribel,,
DLG.MARIBEL.TORMENTA.01,"¡Viene tormenta! Tapa los cultivos, que el granizo no perdona.",14. Maribel Ruiz — Cooperativa de Villaverde · Maribel,,
DLG.MARIBEL.OLIVO.01,Esta semilla viene del primer olivo del valle. Doscientos años esperando a alguien paciente.,14. Maribel Ruiz — Cooperativa de Villaverde · Maribel,,
DLG.VICTORIA.CITA.01,Tienes cinco minutos. Convénceme.,15. Victoria Altamar — Grupo Altamar · Victoria,,
DLG.VICTORIA.CITA.02,Todos tienen ideas. Yo busco a quien las termina.,15. Victoria Altamar — Grupo Altamar · Victoria,,
DLG.VICTORIA.PLAN.R1,Una cafetería con productos de Villaverde.,15. Victoria Altamar — Grupo Altamar · Respuesta del jugador,,
DLG.VICTORIA.PLAN.R2,Una tienda de bicis en el Campus.,15. Victoria Altamar — Grupo Altamar · Respuesta del jugador,,
DLG.VICTORIA.PLAN.R3,Un estudio de videojuegos.,15. Victoria Altamar — Grupo Altamar · Respuesta del jugador,,
DLG.VICTORIA.PLAN.01,"Mmm. Pequeño, pero con los números claros. Me gusta más que muchas ideas grandes.",15. Victoria Altamar — Grupo Altamar · Victoria,,
DLG.VICTORIA.PLAN.02,"Te ayudo con el primer local. Si en un mes sigue abierto, hablamos de algo más grande.",15. Victoria Altamar — Grupo Altamar · Victoria,,
DLG.VICTORIA.EXITO.01_M,"Tu negocio ha salido en Radio Valmar. Bien jugado, emprendedor. Ahora no te relajes.",15. Victoria Altamar — Grupo Altamar · Victoria (forma masculina),,
DLG.VICTORIA.EXITO.01_F,"Tu negocio ha salido en Radio Valmar. Bien jugado, emprendedora. Ahora no te relajes.",15. Victoria Altamar — Grupo Altamar · Victoria (forma femenina),,
DLG.RADIO.MANANA.01,"¡Buenos días, Valmar! Hoy hace sol, el café está caliente y tenemos noticias frescas.",16. Leo Sanz — Radio Valmar · Por la mañana,,
DLG.RADIO.LLUVIA.01,"¡Buenos días, Valmar! Coged el paraguas, que hoy llueve más que en un lavado de coche.",16. Leo Sanz — Radio Valmar · Lluvia,,
